d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9
d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d8,d9,d13,d8,d7,d8,d8,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d8,d8,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9
d19,d19,d19,d19,d19,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d17,d18,d18,d18,d18,d18,d18,d18,d18,d18
d11,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d11,d10,d11,d11,d11,d11,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10,d10
d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9
d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9
d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d19,d20,d20,d20,d20,d20,d20,d20,d20,d19,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18,d18
d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d6,d5,d5,d5,d5,d5,d4,d4,d4,d4,d4,d4,d4,d4,d4,d4,d4,d4,d4,d5,d5,d5,d5,d5,d5,d5,d5,d5,d5,d6,d6,d6,d6,d6,d6,d6,d6,d6
d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9
d7,d7,d7,d7,d7,d7,d7,d7,d7,d7,d7,d7,d7,d7,d7,d7,d7,d7,d7,d8,d8,d8,d8,d9,d9,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d8,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d9,d8,d8,d8
